question_id,question_no,question_date,asked_by_name,recipient,debate_section_id,source_xml_url,fetch_ok,section_local_match,question_local_match,question_count_in_xml,speech_count_in_xml,summary_count,table_count,external_link_count,answer_text_chars,grouped_or_joint_answer,referred_or_direct_reply,reply_not_received,status,summary_texts,answer_preview
https://data.oireachtas.ie/ie/oireachtas/question/2025-07-08/pq_799,799,2025-07-08,Eoghan Kenny,Health,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-07-08/writtens/dbsect_663,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-07-08/writtens/mul@/dbsect_663.xml,True,True,True,1,1,0,0,6,1096,False,False,False,ministerial_reply_present,,Minister of State at the Department of Health (Deputy Jennifer Murnane O'Connor) The Programme for Government ‘Securing Ireland’s Future’ reaffirms the Government’s commitment to a health led approach to drugs use. It commits to divert those found in possession of drugs for personal use to health services. The Department of Health and the Departmen
https://data.oireachtas.ie/ie/oireachtas/question/2025-07-09/pq_66,66,2025-07-09,Barry Heneghan,Education,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-07-09/writtens/dbsect_147,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-07-09/writtens/mul@/dbsect_147.xml,True,True,True,3,1,2,0,6,3858,True,False,False,ministerial_reply_present,Question No. 65 answered with Question No. 64. | Question No. 66 answered with Question No. 64.,"Minister for Education and Youth I propose to take Questions Nos. 64, 65 and 66 together. The primary staffing schedule is a long-standing feature of the primary allocation system which ensures fairness and transparency in the allocation of mainstream class teachers across our primary schools. It is an important feature of the primary schedule that"
https://data.oireachtas.ie/ie/oireachtas/question/2025-07-17/pq_318,318,2025-07-17,Jen Cummins,Education,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-07-17/writtens/dbsect_329,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-07-17/writtens/mul@/dbsect_329.xml,True,True,True,1,1,0,0,6,4056,False,False,False,ministerial_reply_present,,"Minister for Education and Youth Schools in financial difficulty are encouraged to contact my Department for advice and support. The Department is committed to offering all available and appropriate supports to schools, which may include an advance in capitation grant funding or other measures. The Department is constantly engaging with a number of"
https://data.oireachtas.ie/ie/oireachtas/question/2025-07-29/pq_1496,1496,2025-07-29,James Geoghegan,Housing,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-07-29/writtens/dbsect_1271,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-07-29/writtens/mul@/dbsect_1271.xml,True,True,True,1,1,0,0,6,435,False,False,False,ministerial_reply_present,,"Minister for Housing, Local Government and Heritage The Poolbeg (Irish Glass Bottle Site) Housing Consultative Forum was established by Dublin City Council to provide a forum for the mutual exchange of information between stakeholders associated with the Irish Glass Bottle site. The organisation and convening of the forum is a matter for Dublin Cit"
https://data.oireachtas.ie/ie/oireachtas/question/2025-07-29/pq_2950,2950,2025-07-29,William Aird,Health,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-07-29/writtens/dbsect_2567,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-07-29/writtens/mul@/dbsect_2567.xml,True,True,True,1,0,1,0,4,0,False,False,True,reply_not_received,Reply not received from Department.,
https://data.oireachtas.ie/ie/oireachtas/question/2025-07-29/pq_861,861,2025-07-29,Malcolm Byrne,Enterprise,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-07-29/writtens/dbsect_715,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-07-29/writtens/mul@/dbsect_715.xml,True,True,True,1,1,0,1,7,3510,False,False,False,ministerial_reply_present,,"Minister for Enterprise, Tourism and Employment Regional development is a key focus of our Programme for Government and is central to the work of my Department and our Enterprise Development Agencies. In that regard, regional development is a strategic imperative for the IDA who partners with client companies and key stakeholders in all regions in "
https://data.oireachtas.ie/ie/oireachtas/question/2025-09-08/pq_2443,2443,2025-09-08,Sorca Clarke,Health,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-09-08/writtens/dbsect_2123,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-09-08/writtens/mul@/dbsect_2123.xml,True,True,True,1,1,0,0,6,1320,False,False,False,ministerial_reply_present,,"Minister of State at the Department of Health (Deputy Mary Butler) Both I, and the Department of Health, await submission by the HSE of the Final Report by Dr. Halpin in relation to the North Kerry Lookback Review. I am closely monitoring developments in relation to Child and Adolescent Mental Health Services in North Kerry, including the timeline "
https://data.oireachtas.ie/ie/oireachtas/question/2025-09-23/pq_651,651,2025-09-23,Pádraig Rice,Health,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-09-23/writtens/dbsect_603,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-09-23/writtens/mul@/dbsect_603.xml,True,True,True,1,1,0,0,6,146,False,True,False,ministerial_reply_present,,"Minister for Health As this is a service matter, I have asked the Health Service Executive to respond to the Deputy directly, as soon as possible."
https://data.oireachtas.ie/ie/oireachtas/question/2025-09-30/pq_205,205,2025-09-30,Ken O'Flynn,Foreign,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-09-30/writtens/dbsect_143,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-09-30/writtens/mul@/dbsect_143.xml,True,True,True,3,1,0,0,6,4372,True,False,False,ministerial_reply_present,,"Tánaiste and Minister for Foreign Affairs and Trade I propose to take Questions Nos. 202, 205 and 208 together. On 19 September, together with Hilary Benn, Secretary of State for Northern Ireland, I announced publication of an agreed Joint Framework on the Legacy of the Troubles. The Joint Framework sets out a comprehensive package aimed at providi"
https://data.oireachtas.ie/ie/oireachtas/question/2025-10-01/pq_154,154,2025-10-01,Ken O'Flynn,Agriculture,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-10-01/writtens/dbsect_165,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-10-01/writtens/mul@/dbsect_165.xml,True,True,True,1,1,0,0,6,568,False,False,False,ministerial_reply_present,,"Minister for Agriculture, Food and the Marine The Slaughter of Animals Act 1935 has been repealed by The Animal Health and Welfare Act 2013. Animal welfare at slaughter in the European Union is governed by Regulation 1099/2009 which is enforced under SI 292/2013 in Ireland. This Regulation has a similar requirement to minimise pain and suffering, w"
