membership_id,member_code,member_uri,house_uri,house_no,house_code,chamber,membership_start,membership_end,is_current,source_hash,snapshot_date
https://data.oireachtas.ie/ie/oireachtas/member/id/Ciarán-Ahern.D.2024-11-29/house/dail/34,Ciarán-Ahern.D.2024-11-29,https://data.oireachtas.ie/ie/oireachtas/member/id/Ciarán-Ahern.D.2024-11-29,https://data.oireachtas.ie/ie/oireachtas/house/dail/34,34,dail,dail,2024-11-29,,True,70fe8ae705eaca3c,2026-06-21
https://data.oireachtas.ie/ie/oireachtas/member/id/William-Aird.D.2024-11-29/house/dail/34,William-Aird.D.2024-11-29,https://data.oireachtas.ie/ie/oireachtas/member/id/William-Aird.D.2024-11-29,https://data.oireachtas.ie/ie/oireachtas/house/dail/34,34,dail,dail,2024-11-29,,True,553e8e20be8fae13,2026-06-21
https://data.oireachtas.ie/ie/oireachtas/member/id/Catherine-Ardagh.S.2016-04-25/house/dail/34,Catherine-Ardagh.S.2016-04-25,https://data.oireachtas.ie/ie/oireachtas/member/id/Catherine-Ardagh.S.2016-04-25,https://data.oireachtas.ie/ie/oireachtas/house/dail/34,34,dail,dail,2024-11-29,,True,e8a4251df864ffd7,2026-06-21
https://data.oireachtas.ie/ie/oireachtas/member/id/Ivana-Bacik.S.2007-07-23/house/dail/34,Ivana-Bacik.S.2007-07-23,https://data.oireachtas.ie/ie/oireachtas/member/id/Ivana-Bacik.S.2007-07-23,https://data.oireachtas.ie/ie/oireachtas/house/dail/34,34,dail,dail,2024-11-29,,True,d6b9c13804946e67,2026-06-21
https://data.oireachtas.ie/ie/oireachtas/member/id/Cathy-Bennett.D.2024-11-29/house/dail/34,Cathy-Bennett.D.2024-11-29,https://data.oireachtas.ie/ie/oireachtas/member/id/Cathy-Bennett.D.2024-11-29,https://data.oireachtas.ie/ie/oireachtas/house/dail/34,34,dail,dail,2024-11-29,,True,1d21a5ffe737b124,2026-06-21
https://data.oireachtas.ie/ie/oireachtas/member/id/Grace-Boland.D.2024-11-29/house/dail/34,Grace-Boland.D.2024-11-29,https://data.oireachtas.ie/ie/oireachtas/member/id/Grace-Boland.D.2024-11-29,https://data.oireachtas.ie/ie/oireachtas/house/dail/34,34,dail,dail,2024-11-29,,True,ca22f2a5d5a0d649,2026-06-21
https://data.oireachtas.ie/ie/oireachtas/member/id/Richard-Boyd-Barrett.D.2011-03-09/house/dail/34,Richard-Boyd-Barrett.D.2011-03-09,https://data.oireachtas.ie/ie/oireachtas/member/id/Richard-Boyd-Barrett.D.2011-03-09,https://data.oireachtas.ie/ie/oireachtas/house/dail/34,34,dail,dail,2024-11-29,,True,07e7ccfb65d64122,2026-06-21
https://data.oireachtas.ie/ie/oireachtas/member/id/Tom-Brabazon.D.2024-11-29/house/dail/34,Tom-Brabazon.D.2024-11-29,https://data.oireachtas.ie/ie/oireachtas/member/id/Tom-Brabazon.D.2024-11-29,https://data.oireachtas.ie/ie/oireachtas/house/dail/34,34,dail,dail,2024-11-29,,True,4e616fe5748526b3,2026-06-21
https://data.oireachtas.ie/ie/oireachtas/member/id/John-Brady.D.2016-10-03/house/dail/34,John-Brady.D.2016-10-03,https://data.oireachtas.ie/ie/oireachtas/member/id/John-Brady.D.2016-10-03,https://data.oireachtas.ie/ie/oireachtas/house/dail/34,34,dail,dail,2024-11-29,,True,02f101714664980c,2026-06-21
https://data.oireachtas.ie/ie/oireachtas/member/id/Brian-Brennan.D.2024-11-29/house/dail/34,Brian-Brennan.D.2024-11-29,https://data.oireachtas.ie/ie/oireachtas/member/id/Brian-Brennan.D.2024-11-29,https://data.oireachtas.ie/ie/oireachtas/house/dail/34,34,dail,dail,2024-11-29,,True,320b455f88ef63a3,2026-06-21
