model_name,input_price_per_million,output_price_per_million,pricing_basis,verified_at_utc,source_notes
gpt-5.6-luna,0.10,0.60,OpenAI Batch API 50 percent discount,2026-08-06T02:54:00Z,Standard text rates 0.20 input and 1.20 output per 1M tokens; Batch guide states 50 percent lower costs
gpt-5.6-terra,1.00,6.00,OpenAI Batch API 50 percent discount,2026-08-06T02:54:00Z,Standard text rates 2.00 input and 12.00 output per 1M tokens; Batch guide states 50 percent lower costs
