constituency_name,year,member_count,speech_count,votes_cast_count,snapshot_date
Cork South-Central,2026,2,267,62,2026-07-14
Wicklow,2026,2,167,39,2026-07-14
Dublin West,2026,4,114,189,2026-07-14
Kerry,2026,5,91,221,2026-07-14
Donegal,2026,3,91,153,2026-07-14
Dún Laoghaire,2026,3,87,131,2026-07-14
Mayo,2026,5,79,256,2026-07-14
Cork North-Central,2026,3,75,138,2026-07-14
Wexford,2026,2,63,103,2026-07-14
Waterford,2026,3,62,162,2026-07-14
