bill_event_id,bill_id,event_uri,event_type_uri,event_name,event_date,chamber_uri,chamber_name,event_order,snapshot_date
https://data.oireachtas.ie/ie/oireachtas/bill/2026/80/admissibility-for-introduction,https://data.oireachtas.ie/ie/oireachtas/bill/2026/80,https://data.oireachtas.ie/ie/oireachtas/bill/2026/80/admissibility-for-introduction,https://data.oireachtas.ie/ie/oireachtas/def/bill-event/admissibility-for-introduction,Admissibility for Introduction,2026-06-10,https://data.oireachtas.ie/ie/oireachtas/def/house/dail,Dáil Éireann,1,2026-07-14
https://data.oireachtas.ie/ie/oireachtas/bill/2026/79/approved-for-initiation,https://data.oireachtas.ie/ie/oireachtas/bill/2026/79,https://data.oireachtas.ie/ie/oireachtas/bill/2026/79/approved-for-initiation,https://data.oireachtas.ie/ie/oireachtas/def/bill-event/approved-for-initiation,Approved for Initiation,2026-06-25,https://data.oireachtas.ie/ie/oireachtas/def/house/seanad,Seanad Éireann,1,2026-07-14
https://data.oireachtas.ie/ie/oireachtas/bill/2026/78/admissibility-for-introduction,https://data.oireachtas.ie/ie/oireachtas/bill/2026/78,https://data.oireachtas.ie/ie/oireachtas/bill/2026/78/admissibility-for-introduction,https://data.oireachtas.ie/ie/oireachtas/def/bill-event/admissibility-for-introduction,Admissibility for Introduction,2026-05-21,https://data.oireachtas.ie/ie/oireachtas/def/house/dail,Dáil Éireann,1,2026-07-14
https://data.oireachtas.ie/ie/oireachtas/bill/2026/75/published,https://data.oireachtas.ie/ie/oireachtas/bill/2026/75,https://data.oireachtas.ie/ie/oireachtas/bill/2026/75/published,https://data.oireachtas.ie/ie/oireachtas/def/bill-event/published,Published,2026-06-26,https://data.oireachtas.ie/ie/oireachtas/def/house/dail,Dáil Éireann,1,2026-07-14
https://data.oireachtas.ie/ie/oireachtas/bill/2026/74/published,https://data.oireachtas.ie/ie/oireachtas/bill/2026/74,https://data.oireachtas.ie/ie/oireachtas/bill/2026/74/published,https://data.oireachtas.ie/ie/oireachtas/def/bill-event/published,Published,2026-06-26,https://data.oireachtas.ie/ie/oireachtas/def/house/dail,Dáil Éireann,1,2026-07-14
https://data.oireachtas.ie/ie/oireachtas/bill/2026/73/admissibility-for-introduction,https://data.oireachtas.ie/ie/oireachtas/bill/2026/73,https://data.oireachtas.ie/ie/oireachtas/bill/2026/73/admissibility-for-introduction,https://data.oireachtas.ie/ie/oireachtas/def/bill-event/admissibility-for-introduction,Admissibility for Introduction,2026-06-10,https://data.oireachtas.ie/ie/oireachtas/def/house/dail,Dáil Éireann,1,2026-07-14
https://data.oireachtas.ie/ie/oireachtas/bill/2026/72/published,https://data.oireachtas.ie/ie/oireachtas/bill/2026/72,https://data.oireachtas.ie/ie/oireachtas/bill/2026/72/published,https://data.oireachtas.ie/ie/oireachtas/def/bill-event/published,Published,2026-06-19,https://data.oireachtas.ie/ie/oireachtas/def/house/dail,Dáil Éireann,1,2026-07-14
https://data.oireachtas.ie/ie/oireachtas/bill/2026/71/published,https://data.oireachtas.ie/ie/oireachtas/bill/2026/71,https://data.oireachtas.ie/ie/oireachtas/bill/2026/71/published,https://data.oireachtas.ie/ie/oireachtas/def/bill-event/published,Published,2026-06-19,https://data.oireachtas.ie/ie/oireachtas/def/house/dail,Dáil Éireann,1,2026-07-14
https://data.oireachtas.ie/ie/oireachtas/bill/2026/70/published,https://data.oireachtas.ie/ie/oireachtas/bill/2026/70,https://data.oireachtas.ie/ie/oireachtas/bill/2026/70/published,https://data.oireachtas.ie/ie/oireachtas/def/bill-event/published,Published,2026-06-19,https://data.oireachtas.ie/ie/oireachtas/def/house/dail,Dáil Éireann,1,2026-07-14
https://data.oireachtas.ie/ie/oireachtas/bill/2026/69/published,https://data.oireachtas.ie/ie/oireachtas/bill/2026/69,https://data.oireachtas.ie/ie/oireachtas/bill/2026/69/published,https://data.oireachtas.ie/ie/oireachtas/def/bill-event/published,Published,2026-06-19,https://data.oireachtas.ie/ie/oireachtas/def/house/dail,Dáil Éireann,1,2026-07-14
