label,value,source_field
Fianna Fáil,48,party
Sinn Féin,39,party
Fine Gael,39,party
Independent,16,party
Social Democrats,12,party
Labour Party,11,party
Independent Ireland,4,party
People Before Profit-Solidarity,3,party
Aontú,2,party
Other,2,party
