label,value,source_field
Unclassified,17935,PoliticalIssues
Housing and Community Development,4146,PoliticalIssues
Health,3816,PoliticalIssues
Education,3045,PoliticalIssues
Law/Crime and Family Issues,2153,PoliticalIssues
International Affairs and Foreign Aid,1943,PoliticalIssues
Government Operations,1925,PoliticalIssues
Transportation,1922,PoliticalIssues
"Labor, Employment and Immigration",1763,PoliticalIssues
Other,8627,PoliticalIssues
